number,company,symbol,ytd_return
339,DEVON ENERGY CORP,,   -3.25%
340,MONSTER BEVERAGE CORP,,   -3.28%
341,PPL CORP,,   -3.28%
342,NASDAQ INC,,   -3.35%
343,CELANESE CORP,,   -3.37%
344,CBRE GROUP INC   A,,   -3.37%
345,PAYPAL HOLDINGS INC,,   -3.39%
346,AFLAC INC,,   -3.39%
347,HALLIBURTON CO,,   -3.43%
348,FIFTH THIRD BANCORP,,   -3.54%
349,PINNACLE WEST CAPITAL,,   -3.58%
350,INCYTE CORP,,   -3.60%
351,TEXAS INSTRUMENTS INC,,   -3.61%
352,CARMAX INC,,   -3.62%
353,EASTMAN CHEMICAL CO,,   -3.65%
354,DTE ENERGY COMPANY,,   -3.69%
355,ATMOS ENERGY CORP,,   -3.69%
356,NIKE INC  CL B,,   -3.71%
357,NORTHERN TRUST CORP,,   -3.77%
358,FACTSET RESEARCH SYSTEMS INC,,   -3.77%
359,COMCAST CORP CLASS A,,   -3.79%
360,EQUITY RESIDENTIAL,,   -3.83%
361,PHILIP MORRIS INTERNATIONAL,,   -3.89%
362,COSTAR GROUP INC,,   -3.90%
363,DR HORTON INC,,   -4.03%
364,CISCO SYSTEMS INC,,   -4.20%
365,KEYSIGHT TECHNOLOGIES IN,,   -4.24%
366,HP INC,,   -4.29%
367,BLACKSTONE INC,,   -4.31%
368,INTL FLAVORS + FRAGRANCES,,   -4.40%
369,CENTERPOINT ENERGY INC,,   -4.45%
370,TELEDYNE TECHNOLOGIES INC,,   -4.49%
371,HASBRO INC,,   -4.68%
372,FEDEX CORP,,   -4.68%
373,ANALOG DEVICES INC,,   -4.81%
374,PPG INDUSTRIES INC,,   -4.82%
375,REVVITY INC,,   -4.89%
376,EQT CORP,,   -4.97%
377,KEYCORP,,   -5.00%
378,HONEYWELL INTERNATIONAL INC,,   -5.02%
379,SEMPRA,,   -5.11%
380,HORMEL FOODS CORP,,   -5.17%
381,AMCOR PLC,,   -5.19%
382,LABORATORY CRP OF AMER HLDGS,,   -5.20%
383,EVERGY INC,,   -5.23%
384,CONSOLIDATED EDISON INC,,   -5.23%
385,LOCKHEED MARTIN CORP,,   -5.31%
386,DENTSPLY SIRONA INC,,   -5.34%
387,AGILENT TECHNOLOGIES INC,,   -5.42%
388,MODERNA INC,,   -5.46%
389,FEDERAL REALTY INVS TRUST,,   -5.48%
390,SOUTHERN CO/THE,,   -5.52%
391,LAMB WESTON HOLDINGS INC,,   -5.59%
392,PFIZER INC,,   -5.59%
393,US BANCORP,,   -5.64%
